C,C,W,W,W,D,D,G,UTIL
Nathan MacKinnon,Vincent Trocheck,Gabriel Landeskog,Jonathan Huberdeau,Tyson Jost,Tyson Barrie,Brady Skjei,Roberto Luongo,Denis Malgin

Sean Couturier,Erik Haula,Claude Giroux,James Neal,Travis Konecny,Oliver Ekman-Larsson,Erik Johnson,Frederik Andersen,Dmitry Orlov

Aleksander Barkov,Nazem Kadri,Mitchell Marner,Patrick Marleau,Tyson Jost,Shayne Gostisbehere,Aaron Ekblad,Braden Holtby,J.T. Compher

Nathan MacKinnon,Tyler Bozak,Gabriel Landeskog,James van Riemsdyk,Connor Brown,Tyson Barrie,Oliver Ekman-Larsson,Braden Holtby,Dmitry Orlov

Evgeny Kuznetsov,Nazem Kadri,Alex Ovechkin,Patrick Marleau,Tom Wilson,Erik Johnson,Jake Gardiner,Marc-Andre Fleury,Samuel Girard

Nathan MacKinnon,Nolan Patrick,Mikko Rantanen,Jakub Voracek,Gabriel Landeskog,Aaron Ekblad,Jake Gardiner,Henrik Lundqvist,Jakob Chychrun

Nathan MacKinnon,Evgeny Kuznetsov,Alex Ovechkin,Nick Cousins,Christian Fischer,Shayne Gostisbehere,Oliver Ekman-Larsson,Braden Holtby,Dylan Strome

Vincent Trocheck,Sean Couturier,Claude Giroux,Travis Konecny,Matt Nieto,Shayne Gostisbehere,Keith Yandle,Henrik Lundqvist,Denis Malgin

Nathan MacKinnon,Nicklas Backstrom,T.J. Oshie,Tyson Jost,Alexander Kerfoot,Keith Yandle,Morgan Rielly,Braden Holtby,J.T. Compher

Auston Matthews,Evgeny Kuznetsov,Alex Ovechkin,William Nylander,Zach Hyman,Neal Pionk,Samuel Girard,Marc-Andre Fleury,Jimmy Vesey

Auston Matthews,Sean Couturier,Mikko Rantanen,Gabriel Landeskog,William Nylander,Dmitry Orlov,Neal Pionk,Antti Raanta,Zach Hyman

Auston Matthews,Nazem Kadri,Mitchell Marner,William Nylander,Patrick Marleau,Tyson Barrie,Oliver Ekman-Larsson,Antti Raanta,Dmitry Orlov

Evgeny Kuznetsov,Christian Dvorak,Alex Ovechkin,Tom Wilson,Max Domi,Tyson Barrie,Morgan Rielly,Braden Holtby,Mike Matheson

Vincent Trocheck,Nazem Kadri,Jonathan Huberdeau,Mitchell Marner,Patrick Marleau,Tyson Barrie,Jake Gardiner,Henrik Lundqvist,Alex Goligoski

Aleksander Barkov,Sean Couturier,Claude Giroux,Evgenii Dadonov,Travis Konecny,Oliver Ekman-Larsson,Jakob Chychrun,Antti Raanta,Blake Comeau

Evgeny Kuznetsov,Sean Couturier,Claude Giroux,Travis Konecny,Tom Wilson,Morgan Rielly,Colin Miller,Braden Holtby,Blake Comeau

Nicklas Backstrom,Nolan Patrick,Jakub Voracek,T.J. Oshie,Andre Burakovsky,Shayne Gostisbehere,Morgan Rielly,Braden Holtby,Ivan Provorov

Sean Couturier,Mika Zibanejad,Claude Giroux,Jakub Voracek,Travis Konecny,John Carlson,Samuel Girard,Antti Raanta,Jesper Fast

Vincent Trocheck,J.T. Compher,Jakub Voracek,Jonathan Huberdeau,Tyson Jost,Shayne Gostisbehere,Tyson Barrie,Braden Holtby,Alexander Kerfoot

Aleksander Barkov,Sean Couturier,Claude Giroux,Evgenii Dadonov,Nick Bjugstad,Jake Gardiner,Brady Skjei,Henrik Lundqvist,Samuel Girard

Nathan MacKinnon,Derek Stepan,Jakub Voracek,Clayton Keller,Richard Panik,John Carlson,Jakob Chychrun,Braden Holtby,Oskar Lindblom

Vincent Trocheck,Carl Soderberg,Alex Ovechkin,Jonathan Huberdeau,Matt Nieto,Keith Yandle,Mike Matheson,Marc-Andre Fleury,Denis Malgin

Nathan MacKinnon,Nicklas Backstrom,Mikko Rantanen,Gabriel Landeskog,Tyson Jost,Oliver Ekman-Larsson,Neal Pionk,Frederik Andersen,Andre Burakovsky

Sean Couturier,Lars Eller,Claude Giroux,Travis Konecny,Devante Smith-Pelly,John Carlson,Morgan Rielly,Marc-Andre Fleury,Aaron Ekblad

Sean Couturier,Nicklas Backstrom,Jakub Voracek,T.J. Oshie,Andre Burakovsky,John Carlson,Mike Matheson,Marc-Andre Fleury,Oskar Lindblom

Auston Matthews,Derek Stepan,Clayton Keller,Zach Hyman,Richard Panik,John Carlson,Keith Yandle,Antti Raanta,Erik Johnson

Evgeny Kuznetsov,Mika Zibanejad,Alex Ovechkin,Tom Wilson,Blake Comeau,Keith Yandle,Aaron Ekblad,Roberto Luongo,Matt Nieto

Mika Zibanejad,Nazem Kadri,Claude Giroux,Mitchell Marner,Chris Kreider,Morgan Rielly,Ivan Provorov,Henrik Lundqvist,Jesper Fast

Nathan MacKinnon,Lars Eller,Mikko Rantanen,Gabriel Landeskog,Devante Smith-Pelly,Erik Johnson,Aaron Ekblad,Marc-Andre Fleury,Mike Matheson

Aleksander Barkov,Mika Zibanejad,Evgenii Dadonov,Chris Kreider,Nick Bjugstad,Oliver Ekman-Larsson,Dmitry Orlov,Roberto Luongo,Samuel Girard

Vincent Trocheck,Evgeny Kuznetsov,Alex Ovechkin,Jonathan Huberdeau,Tyson Jost,Oliver Ekman-Larsson,Alex Goligoski,Antti Raanta,Denis Malgin

Vincent Trocheck,Nicklas Backstrom,Jonathan Huberdeau,T.J. Oshie,Andre Burakovsky,Aaron Ekblad,Samuel Girard,Braden Holtby,Derek Stepan

Sean Couturier,Nicklas Backstrom,Claude Giroux,Travis Konecny,Andre Burakovsky,Shayne Gostisbehere,Jake Gardiner,Frederik Andersen,Alex Goligoski

Vincent Trocheck,Auston Matthews,T.J. Oshie,William Nylander,Zach Hyman,Shayne Gostisbehere,Brady Skjei,Marc-Andre Fleury,Denis Malgin

William Karlsson,Carl Soderberg,Jonathan Marchessault,Alex Tuch,Blake Comeau,Shayne Gostisbehere,Keith Yandle,Braden Holtby,Oliver Ekman-Larsson

Nazem Kadri,Derek Stepan,Claude Giroux,Mitchell Marner,Clayton Keller,Tyson Barrie,Dmitry Orlov,Frederik Andersen,Richard Panik

Nathan MacKinnon,Auston Matthews,William Nylander,Zach Hyman,Tyson Jost,Morgan Rielly,Ivan Provorov,Marc-Andre Fleury,Alexander Kerfoot

Nicklas Backstrom,Mika Zibanejad,T.J. Oshie,Jesper Fast,Andre Burakovsky,Shayne Gostisbehere,Tyson Barrie,Roberto Luongo,Aaron Ekblad

Sean Couturier,Nazem Kadri,Mitchell Marner,T.J. Oshie,Patrick Marleau,Morgan Rielly,Ivan Provorov,Marc-Andre Fleury,Andre Burakovsky

Evgeny Kuznetsov,Nazem Kadri,Alex Ovechkin,Mitchell Marner,Patrick Marleau,Oliver Ekman-Larsson,Brady Skjei,Frederik Andersen,Jimmy Vesey

Nicklas Backstrom,Mika Zibanejad,Mitchell Marner,T.J. Oshie,Andre Burakovsky,Oliver Ekman-Larsson,Erik Johnson,Frederik Andersen,Nazem Kadri

Sean Couturier,Tyler Bozak,Claude Giroux,James van Riemsdyk,Connor Brown,Keith Yandle,Morgan Rielly,Braden Holtby,Alex Goligoski

Auston Matthews,Carl Soderberg,Alex Ovechkin,William Nylander,Zach Hyman,Tyson Barrie,Oliver Ekman-Larsson,Frederik Andersen,Blake Comeau

Aleksander Barkov,Auston Matthews,Jakub Voracek,Zach Hyman,Oskar Lindblom,Erik Johnson,Ivan Provorov,Braden Holtby,Nolan Patrick

Vincent Trocheck,Nazem Kadri,Jonathan Huberdeau,Mitchell Marner,Tyson Jost,Morgan Rielly,Ivan Provorov,Braden Holtby,Denis Malgin

Vincent Trocheck,Nazem Kadri,Jakub Voracek,Mitchell Marner,Patrick Marleau,John Carlson,Samuel Girard,Marc-Andre Fleury,Denis Malgin

Nathan MacKinnon,Erik Haula,Mikko Rantanen,Gabriel Landeskog,James Neal,Keith Yandle,Brady Skjei,Henrik Lundqvist,Matt Nieto

